Code,52w Low,52w High,Long-Term Trend,RSI (14),MACD,1 Day,RR Week 1,RR Week 2,RR Week 3,RR Week 4,RR Week 6,RR Week 8,RR Week 13,RR Week 19,RR Week 26,RR Week 39,RR Week 52,Close Price,Price Close Today,Price Week 1,Price Week 2,Price Week 3,Price Week 4,Price Week 13,Price Week 26,Price Week 52,Trend RR,Over Extention Risk,Trend Score,Trend Move,Liquidity Score,Liquidity Move,Volatility Score,Upside Pressure Risk,Market Cap Rank,Ranking,Overall Momentum Score,Overall Risk,Expected Move Up,Expected Move Down,Directional Expected Move,Market cap Measured,Exit Reason,Final Score,CFS Smooth,CFS Move,Micro Regime Period,Trend Category,Volatility Category,Liquidity Category,Micro Regime,Macro VT Regime,Micro R Smooth,Market Regime Category,Price Last Friday,Upper Price Limit,Lower Price Limit,Target Price Limit,Stop price Limit,Market Standing Score,Final Verdict,EMA Final Verdict,Momentum Category,Behavioural Classifier,Confidence State,PE Valuation,Overall Risk Class,Breakout classifier,Sector,TYPE,Exchange abbreviation,Company
RZI,0.45,0.96,Bearish,41,Negative,-5.52%,-1.79%,-11.29%,-12.70%,-8.33%,-8.33%,7.32%,-0.90%,-9.84%,3.77%,-26.17%,-19.12%,0.55,$0.510,$0.560,$0.620,$0.630,$0.600,$0.555,$0.530,$0.680,-27.82%,0.38%,-0.099,-0.104,1.553,-0.138,1.974,27.17%,908,1730,10.50%,47.90%,10.00%,19.24%,-3.28%,53748900,Stress-Drawdown,24.50%,26.02%,-1.518%,1,Sideways – Breaking,Low,Scarce,Fading,Calm - Downtrend,Fading,Unstable_Weak,$0.550,$0.61,$0.44,$0.532,$0.506,1.436,Weak,Weak – Drift,Drop Phase,Collapsed,Weak,Assured Value,Caution,Breakout Tilt,Financials ,Ordinary,XASX,Raiz Invest Limited Ordinary
S2R,0.051,0.12,Bearish,38,Negative,0.81%,-8.82%,-3.13%,-4.62%,-18.42%,-15.07%,-17.33%,12.73%,3.33%,-1.59%,-11.43%,-38.00%,0.062,$0.063,$0.068,$0.064,$0.065,$0.076,$0.055,$0.063,$0.100,-10.27%,0.73%,-0.125,-0.113,1.247,-0.061,1.957,26.35%,1062,1565,9.60%,49.20%,32.26%,33.71%,-7.03%,33489943.2,Stress-Trailing Stop,24.80%,23.75%,1.048%,3,Sideways – Weak,Low,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.062,$0.08,$0.04,$0.058,$0.056,1.412,Weak,Weak – Calm,Drop Phase,Faded,Moderate,Distressed Cheap,Exposed,Breakout Tilt,Materials,Ordinary,XASX,S2 Resources Ltd Ordinary
S32,2.56,5.33,Bullish,48,Positive,0.10%,-1.79%,-5.01%,-6.10%,0.82%,-0.60%,9.80%,19.37%,19.08%,23.87%,46.29%,89.62%,4.93,$4.910,$5.020,$5.190,$5.250,$4.890,$4.130,$3.980,$2.600,-21.31%,11.52%,0.226,-0.091,3.948,-0.322,1.807,17.76%,32,55,45.30%,17.30%,14.68%,10.00%,4.20%,22028646260,Trader Choice,67.50%,64.23%,3.272%,1,Uptrend – Soft,Calm,Standard,Neutral,Medium - Fading,Neutral,Unstable_Weak,$4.930,$5.65,$4.44,$5.137,$4.402,8.462,Strong,Positive – Better,Rising,Faded,Fragile,Balanced Value,Assured,Breakout,Materials,Ordinary,XASX,South32 Limited Ordinary
S3GO,5.91,7.13,Neutral,50,Negative,1.82%,1.71%,0.15%,-1.06%,0.00%,-1.65%,1.39%,-6.82%,-1.50%,10.62%,-1.94%,1.08%,6.56,$6.750,$6.450,$6.550,$6.630,$6.560,$7.040,$5.930,$6.490,-0.90%,1.72%,-0.042,0.038,1.341,0.104,1.868,10.20%,1742,892,17.20%,38.00%,10.00%,14.35%,-2.08%,0,Stress-Drawdown,36.30%,32.40%,3.896%,1,Sideways – Calm,Low,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$6.560,$7.22,$5.62,$6.423,$6.283,1.764,Weak,Weak – Better,Fading,Inspect,Strong,NA,Caution,Breakout,Financials ,ETF,XASX,Firetrail S3 Global Opps Fund - Active ETF
S66,0.11,0.275,Neutral,69,Positive,0.00%,0.00%,0.00%,0.00%,7.69%,7.69%,16.67%,21.74%,-28.21%,-30.00%,-35.63%,-36.36%,0.14,$0.140,$0.140,$0.140,$0.140,$0.130,$0.115,$0.200,$0.220,-1.78%,2.32%,0.014,0.071,1.094,-0.018,2.137,19.58%,1258,1322,24.00%,49.70%,14.89%,18.92%,3.19%,18911620,Stress-Drawdown,29.20%,21.46%,7.744%,1,Sideways – Soft,Low,Scarce,Neutral,Medium - Downtrend,Fading,Unstable_Weak,$0.140,$0.16,$0.11,$0.144,$0.131,1.171,Weak,Weak – Active,Fading,Improved,Strong,Exposed Premium,Exposed,Breakout Tilt,Consumer Staples,Ordinary,XASX,Star Combo Pharma Limited Ordinary
SAN,0.006,0.022,Bearish,47,Negative,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-25.00%,-28.00%,-35.71%,-18.18%,50.00%,0.009,$0.009,$0.009,$0.009,$0.009,$0.009,$0.012,$0.014,$0.006,-1.81%,0.00%,-0.238,0.116,1.160,0.018,2.351,20.18%,1731,1947,9.00%,50.30%,45.00%,45.00%,-8.06%,1841940.9,Stress-Drawdown,18.30%,18.58%,-0.281%,4,Fading – Weak,Medium,Scarce,Neutral,Calm - Sideways,Fading,Unstable_Weak,$0.009,$0.01,$0.00,$0.008,$0.008,1.264,Weak,Weak – Drift,Drop Phase,Inspect,Moderate,NA,Exposed,Breakout Tilt,Energy,Ordinary,XASX,Sagalio Energy Limited Ordinary
SB2,0.5,0.8,Bearish,52,Negative,-1.26%,0.85%,1.71%,-4.42%,-2.46%,1.71%,-3.25%,10.19%,-4.03%,-9.16%,-16.20%,-17.93%,0.595,$0.580,$0.590,$0.585,$0.623,$0.610,$0.540,$0.655,$0.725,-14.44%,0.98%,-0.032,0.003,1.224,0.060,1.759,10.63%,945,1185,14.00%,42.10%,10.00%,18.56%,-3.17%,48766197,Stress-Drawdown,30.20%,27.80%,2.399%,8,Sideways – Weak,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$0.595,$0.65,$0.48,$0.576,$0.572,1.340,Weak,Weak – Calm,Drop Phase,Inspect,Strong,NA,Caution,Breakout,Financials ,Ordinary,XASX,Salter Brothers Emerging Companies Limited Ordinary
SBHI,49.85,50.35,Neutral,10,Negative,-0.03%,-0.52%,-0.52%,-0.52%,-0.52%,-0.58%,NA,NA,NA,NA,NA,NA,49.85,$49.850,$50.110,$50.110,$50.110,$50.110,$0.000,$0.000,$0.000,-9.69%,0.00%,-0.127,0.012,1.227,0.067,1.033,3.17%,1742,1029,14.70%,31.30%,10.00%,17.25%,-4.87%,0,Stress-Drawdown,32.60%,29.11%,3.486%,6,Fading – Weak,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$49.850,$54.84,$41.25,$47.423,$47.275,1.995,Weak,Weak – Better,Drop Phase,Inspect,Strong,NA,Balanced,Breakout,Other,ETF,XASX,State Street Blackstone High Income HDG Active ETF
SBM,0.405,0.93,Bullish,74,Positive,-8.50%,16.25%,24.00%,16.25%,37.78%,58.97%,111.36%,58.97%,44.19%,61.74%,69.09%,91.75%,0.93,$0.825,$0.800,$0.750,$0.800,$0.675,$0.585,$0.575,$0.485,33.54%,40.96%,0.914,0.151,4.043,-0.021,2.755,7.31%,284,9,65.40%,35.40%,27.57%,11.23%,17.83%,1011497025,Trader Choice,76.10%,67.46%,8.640%,6,Surged – Calm,Spiked,Available,Upside,Medium - Fading,Neutral,Unstable_Weak,$0.930,$1.19,$0.83,$1.096,$0.693,4.308,Strong,Monitor – Active,Peak,Improved,Strong,Distressed Cheap,Balanced,Breakout Tilt,Materials,Ordinary,XASX,St Barbara Limited Ordinary
SBR,0.005,0.015,Bearish,48,Positive,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-14.29%,-33.33%,-45.45%,-50.00%,-50.00%,0.006,$0.006,$0.006,$0.006,$0.006,$0.006,$0.007,$0.011,$0.012,-5.94%,0.00%,-0.225,0.076,2.188,-0.238,2.019,23.34%,1634,1830,11.80%,44.50%,45.00%,45.00%,-7.86%,5486771.4,Trader Choice,23.90%,22.20%,1.705%,1,Fading – Weak,Low,Limited,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.006,$0.01,$0.00,$0.006,$0.006,1.474,Weak,Weak – Calm,Drop Phase,Inspect,Strong,Distressed Cheap,Caution,Neutral,Materials,Ordinary,XASX,Sabre Resources Limited Ordinary
SBSL,50.11,50.38,Neutral,96,Positive,0.25%,0.00%,0.00%,0.50%,0.50%,0.46%,NA,NA,NA,NA,NA,NA,50.38,$50.380,$50.380,$50.380,$50.130,$50.130,$0.000,$0.000,$0.000,13.80%,0.50%,0.010,0.135,1.230,0.068,1.037,0.00%,1742,611,31.60%,29.70%,12.78%,10.89%,4.79%,0,Stress-Drawdown,41.40%,35.00%,6.395%,6,Sideways – Calm,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$50.380,$56.82,$44.90,$52.794,$47.945,1.995,Recheck,Weak – Active,Stable,Improved,Moderate,NA,Balanced,Breakout,Other,ETF,XASX,State Street Blackstone Senior LN HDG Active ETF
SBZ,0.145,0.26,Bearish,44,Positive,-10.88%,-5.71%,-8.33%,3.13%,3.13%,-5.71%,-8.33%,0.00%,-15.38%,-17.50%,NA,NA,0.165,$0.135,$0.175,$0.180,$0.160,$0.160,$0.165,$0.200,$0.000,-1.37%,0.40%,-0.087,-0.042,1.526,-0.117,2.085,19.47%,824,1261,14.10%,46.70%,12.12%,28.25%,-4.58%,70933306.5,Stress-Drawdown,26.00%,25.28%,0.721%,3,Sideways – Weak,Low,Scarce,Neutral,Calm - Fading,Fading,Unstable_Weak,$0.165,$0.19,$0.12,$0.157,$0.159,1.411,Weak,Weak – Calm,Drop Phase,Faded,Strong,NA,Caution,Breakout Tilt,Industrials,Ordinary,XASX,Schoolblazer Limited Ordinary
SCG,3.275,4.27,Bearish,31,Negative,-0.29%,-0.58%,-3.37%,-2.27%,-6.27%,-13.57%,-11.57%,-9.71%,-7.28%,-1.15%,-18.10%,-15.69%,3.44,$3.430,$3.460,$3.560,$3.520,$3.670,$3.810,$3.480,$4.080,-24.30%,0.00%,-0.264,-0.006,2.959,-0.450,1.611,27.68%,38,173,17.00%,19.50%,10.00%,19.24%,-8.12%,17892310310,Trader Choice,43.60%,41.81%,1.788%,6,Fading – Soft,Calm,Fair,Fading,Medium - Fading,Downside,Unstable_Weak,$3.440,$3.78,$2.78,$3.161,$3.152,8.044,Recheck,Recheck – Calm,Fading,Faded,Moderate,Assured Value,Assured,Breakout Tilt,Real Estate,Ordinary,XASX,Scentre Group Ordinary/Units Stapled Securities
SCN,0.016,0.049,Bearish,45,Negative,0.00%,0.00%,0.00%,-13.04%,-13.04%,0.00%,-23.08%,-23.08%,-39.39%,-42.86%,-20.00%,5.26%,0.02,$0.020,$0.020,$0.020,$0.023,$0.023,$0.026,$0.035,$0.019,-14.63%,0.00%,-0.397,0.056,1.538,0.007,2.662,31.07%,1454,2001,5.60%,54.60%,45.00%,45.00%,-11.71%,10846624,Trader Choice,21.30%,18.30%,3.003%,3,Fading – Weak,Spiked,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.020,$0.03,$0.01,$0.018,$0.020,1.415,Weak,Weak – Better,Drop Phase,Inspect,Moderate,NA,Exposed,Neutral,Materials,Ordinary,XASX,Scorpion Minerals Limited Ordinary
SCP,0.041,3.98,Bullish,90,Positive,4.49%,12.46%,13.43%,10.28%,26.03%,NA,6516.67%,8170.83%,5571.43%,3509.09%,3870.00%,4078.95%,3.97,$4.250,$3.530,$3.500,$3.600,$3.150,$0.048,$0.110,$0.095,23.08%,51.52%,1.256,0.769,2.220,-0.258,3.139,9.44%,1526,4,54.30%,55.10%,20.57%,12.77%,17.14%,8365955,Trader Choice,52.60%,41.84%,10.755%,8,Surged – Strong,Volatile,Limited,Upside,Medium - Downtrend,Neutral,Unstable_Weak,$3.970,$4.79,$3.46,$4.650,$2.125,1.685,Monitor,Recheck – Active,Soaring,Inspect,Strong,NA,Exposed,Neutral,Consumer Staples,Ordinary,XASX,Scalare Partners Holdings Limited Ordinary
SCX,0.195,0.295,Neutral,59,Negative,-2.68%,23.26%,20.45%,8.16%,6.00%,NA,NA,NA,NA,NA,NA,NA,0.265,$0.265,$0.215,$0.220,$0.245,$0.250,$0.000,$0.000,$0.000,-14.36%,4.42%,-0.007,0.071,1.000,0.000,1.949,2.95%,1742,986,16.60%,42.50%,10.84%,29.65%,-5.53%,0,Stress-Drawdown,29.40%,25.01%,4.390%,1,Sideways – Calm,Low,Scarce,Rising,Medium - Fading,Downside,Unstable_Weak,$0.265,$0.29,$0.19,$0.250,$0.250,1.024,Weak,Weak – Better,Fading,Inspect,Strong,NA,Caution,Breakout,Other,Ordinary,XASX,SCX.AI Holdings Limited Ordinary
SDF,3.87,6.665,Bullish,63,Positive,0.26%,0.18%,0.53%,-1.89%,1.24%,8.95%,10.00%,11.07%,41.23%,39.85%,8.95%,-4.03%,5.72,$5.740,$5.710,$5.690,$5.830,$5.650,$5.150,$4.090,$5.960,25.72%,14.44%,0.319,-0.038,4.060,-0.023,1.919,8.19%,94,48,52.70%,14.90%,19.08%,10.00%,8.10%,6382834080,Trader Choice,70.20%,66.17%,4.030%,1,Uptrend – Calm,Low,Available,Neutral,Calm - Downtrend,Neutral,Unstable_Weak,$5.720,$6.81,$5.15,$6.183,$5.118,7.072,Strong,Positive – Better,Rising,Inspect,Moderate,Caution Premium,Assured,Breakout,Financials ,Ordinary,XASX,Steadfast Group Limited Ordinary
SDR,2.6,7.96,Bearish,33,Negative,-0.89%,2.21%,-6.10%,-11.22%,-26.72%,-26.13%,-11.50%,-31.60%,-11.22%,-2.81%,-55.25%,-61.20%,2.77,$2.770,$2.710,$2.950,$3.120,$3.780,$4.050,$2.850,$7.140,-25.97%,0.51%,-0.510,-0.015,3.409,-0.194,2.304,61.23%,327,447,7.40%,38.90%,10.00%,17.83%,-5.86%,784145173,Trader Choice,24.90%,22.15%,2.754%,3,Downtrend – Soft,Medium,Standard,Downside,Medium - Fading,Downside,Unstable_Weak,$2.770,$3.05,$2.28,$2.608,$2.543,4.075,Weak,Weak – Calm,Drop Phase,Faded,Moderate,NA,Caution,Breakdown Tilt,Information Technology,Ordinary,XASX,Siteminder Limited Ordinary
SDV,0.086,0.51,Neutral,55,Positive,1.56%,6.45%,6.45%,6.45%,3.13%,6.45%,37.50%,37.50%,65.00%,-26.67%,-61.63%,-52.86%,0.165,$0.165,$0.155,$0.155,$0.155,$0.160,$0.120,$0.225,$0.350,-1.08%,6.43%,0.194,0.067,1.481,-0.067,2.379,15.92%,1086,1358,28.30%,50.00%,26.04%,19.02%,12.02%,31364619,Stress-Drawdown,36.50%,32.18%,4.324%,1,Uptrend – Calm,Medium,Scarce,Rising,Medium - Fading,Downside,Unstable_Weak,$0.165,$0.21,$0.13,$0.185,$0.151,1.250,Weak,Weak – Better,Stable,Improved,Very Strong,NA,Exposed,Breakout Tilt,Materials,Ordinary,XASX,Scidev Ltd Ordinary
SEA,1.475,3.88,Bearish,35,Negative,0.64%,-1.27%,0.65%,-22.00%,-13.81%,-28.11%,-27.78%,-29.41%,-34.73%,-34.45%,-37.10%,NA,1.56,$1.580,$1.580,$1.550,$2.000,$1.810,$2.210,$2.380,$0.000,-14.92%,0.23%,-0.545,-0.019,1.300,-0.047,2.514,55.62%,820,1904,1.50%,59.40%,10.00%,26.74%,-9.44%,73885129.2,Trader Choice,14.30%,10.19%,4.107%,3,Downtrend – Breaking,Medium,Scarce,Downside,Medium - Downtrend,Downside,Unstable_Weak,$1.560,$1.72,$1.14,$1.413,$1.560,1.539,Weak,Weak – Better,Drop Phase,Inspect,Moderate,NA,Exposed,Breakdown Tilt,Consumer Staples,Ordinary,XASX,Sea Forest Limited Ordinary
SEC,2.08,2.95,Bearish,39,Negative,-4.27%,-3.06%,-3.90%,-6.33%,-5.53%,-4.72%,-3.48%,-8.64%,-9.02%,-2.63%,-18.98%,-15.59%,2.22,$2.130,$2.290,$2.310,$2.370,$2.350,$2.430,$2.280,$2.630,-29.19%,0.00%,-0.168,-0.060,1.622,0.109,1.615,18.27%,691,1551,11.00%,38.50%,10.00%,18.77%,-6.08%,127669047.6,Stress-Drawdown,28.80%,27.60%,1.201%,2,Fading – Breaking,Calm,Scarce,Fading,Calm - Downtrend,Downside,Unstable_Weak,$2.220,$2.44,$1.80,$2.085,$2.033,1.605,Weak,Weak – Calm,Drop Phase,Faded,Strong,Extreme Premium,Caution,Breakout,Financials ,Ordinary,XASX,Spheria Emerging Companies Limited Ordinary
SEG,0.19,0.38,Bearish,43,Negative,-2.80%,-1.85%,-1.85%,-3.64%,-5.36%,-13.11%,-19.70%,-17.19%,-10.17%,-1.85%,-7.02%,-19.70%,0.265,$0.260,$0.270,$0.270,$0.275,$0.280,$0.320,$0.270,$0.330,-28.44%,0.00%,-0.255,-0.022,1.131,-0.016,1.726,17.44%,792,1763,6.90%,44.60%,11.42%,43.42%,-12.64%,82334798,Stress-Drawdown,22.40%,22.28%,0.115%,5,Fading – Breaking,Calm,Scarce,Fading,Spiked - Fading,Downside,Unstable_Weak,$0.265,$0.30,$0.15,$0.231,$0.246,1.410,Weak,Weak – Calm,Drop Phase,Inspect,Strong,Exposed Premium,Caution,Breakout Tilt,Communication Services,Ordinary,XASX,Sports Entertainment Group Limited Ordinary
SEK,11.66,29.84,Bearish,27,Negative,0.41%,-5.89%,-15.81%,-21.16%,-18.69%,-24.38%,-9.54%,-14.45%,-16.71%,-19.25%,-49.63%,-59.89%,11.66,$11.930,$12.390,$13.850,$14.790,$14.340,$13.630,$14.440,$29.070,-44.40%,0.28%,-0.459,-0.146,3.489,-0.122,2.132,67.60%,130,310,9.30%,32.80%,10.00%,20.99%,-8.93%,4270584486,Stress-Drawdown,31.90%,31.16%,0.744%,2,Downtrend – Weak,Low,Standard,Downside,Spiked - Fading,Downside,Unstable_Weak,$11.660,$12.83,$9.21,$10.619,$9.873,6.433,Weak,Weak – Calm,Drop Phase,Collapsed,Moderate,NA,Balanced,Neutral,Communication Services,Ordinary,XASX,Seek Limited Ordinary
SEMI,20.08,47.78,Bullish,53,Negative,4.97%,0.59%,3.36%,2.56%,1.44%,0.59%,-3.28%,-21.79%,1.10%,42.46%,60.36%,80.81%,36,$38.850,$35.790,$34.830,$35.100,$35.490,$46.030,$25.270,$19.910,6.08%,7.71%,0.081,0.035,1.236,0.057,1.873,30.21%,1742,778,27.10%,47.00%,12.65%,11.58%,5.87%,0,Stress-Drawdown,40.30%,36.73%,3.565%,2,Sideways – Better,Low,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$36.000,$40.55,$31.83,$38.112,$34.799,1.968,Recheck,Weak – Better,Stable,Inspect,Moderate,NA,Caution,Breakout,Financials ,ETF,XASX,Global X Semiconductor ETF
SEN,0.023,3.59,Neutral,43,Negative,9.00%,2.82%,6.25%,-0.39%,-16.39%,-19.05%,-27.56%,-15.56%,0.00%,37.10%,4.94%,9707.69%,2.55,$3.050,$2.480,$2.400,$2.560,$3.050,$3.020,$1.860,$0.026,2.12%,10.80%,-0.140,-0.006,1.742,0.086,2.651,39.56%,932,83,14.80%,55.50%,10.00%,18.48%,-4.10%,50561039.5,Stress-Drawdown,31.80%,26.08%,5.721%,1,Fading – Calm,Spiked,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$2.550,$2.81,$2.08,$2.446,$1.355,1.621,Weak,Weak – Better,Drop Phase,Inspect,Strong,Extreme Premium,Exposed,Breakdown Tilt,Information Technology,Ordinary,XASX,Senetas Corporation Limited Ordinary
SEQ,0.048,0.3,Bearish,22,Negative,11.21%,-5.88%,-32.39%,-43.53%,-58.26%,-61.60%,-56.36%,-60.00%,-70.91%,-79.13%,-82.22%,-83.45%,0.048,$0.055,$0.051,$0.071,$0.085,$0.115,$0.120,$0.230,$0.290,-53.88%,1.35%,-1.052,-0.068,3.318,0.345,2.968,52.03%,1581,2075,1.30%,56.40%,41.67%,45.00%,-21.15%,6741641.5,Stress-Trailing Stop,18.50%,15.42%,3.076%,4,Downtrend – Breaking,Volatile,Standard,Downside,Calm - Downtrend,Downside,Unstable_Weak,$0.048,$0.07,$0.03,$0.038,$0.040,1.147,Weak,Weak – Better,Drop Phase,Inspect,Weak,NA,Exposed,Breakdown,Financials ,Ordinary,XASX,Sequoia Financial Group Ltd Ordinary
SER,0.005,0.26,Bullish,60,Positive,2.63%,-2.56%,-5.00%,18.75%,40.74%,52.00%,35.71%,15.15%,2.70%,2614.29%,3066.67%,3354.55%,0.19,$0.200,$0.195,$0.200,$0.160,$0.135,$0.165,$0.007,$0.006,1.56%,15.69%,0.778,0.036,2.010,-0.401,2.893,15.88%,1358,79,51.70%,54.20%,39.61%,19.61%,24.43%,14311198,Trader Choice,50.10%,46.97%,3.129%,3,Surged – Strong,Spiked,Limited,Upside,Medium - Fading,Neutral,Unstable_Weak,$0.190,$0.27,$0.15,$0.236,$0.100,1.000,Monitor,Monitor – Better,Rising,Faded,Weak,NA,Exposed,Breakout Tilt,Materials,Ordinary,XASX,Strategic Energy Resources Limited Ordinary
SET,2.04,2.25,Neutral,53,Negative,-0.69%,0.47%,2.37%,-1.37%,0.93%,-1.82%,0.47%,1.41%,0.47%,NA,NA,NA,2.16,$2.150,$2.150,$2.110,$2.190,$2.140,$2.130,$0.000,$0.000,13.68%,0.74%,0.004,0.014,1.783,0.347,1.432,3.45%,576,810,31.90%,31.20%,12.75%,10.43%,4.06%,204406992,Stress-Drawdown,42.60%,35.56%,7.042%,14,Sideways – Calm,Calm,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$2.160,$2.44,$1.93,$2.248,$2.071,1.703,Recheck,Weak – Active,Stable,Improved,Moderate,Extreme Premium,Balanced,Breakout,Other,Ordinary,XASX,Solaris Australian Equity Income Plus Limited Ordinary
SFC,17.76,21.9,Bearish,38,Negative,-0.32%,-0.91%,-2.05%,-6.95%,-5.05%,-4.07%,-3.32%,0.22%,-1.01%,-1.59%,-6.95%,-11.80%,18.61,$18.600,$18.780,$19.000,$20.000,$19.600,$18.570,$18.910,$21.100,-18.27%,0.04%,-0.116,-0.042,1.092,-0.002,1.483,23.23%,530,402,9.30%,38.20%,10.00%,16.05%,-3.74%,250136148,Stress-Drawdown,28.40%,27.36%,1.042%,2,Sideways – Soft,Calm,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$18.610,$20.47,$15.62,$17.914,$17.499,2.299,Weak,Weak – Calm,Drop Phase,Faded,Moderate,Assured Value,Caution,Breakout,Consumer Discretionary,Ordinary,XASX,Schaffer Corporation Limited Ordinary
SFIF,10.7,10.85,Neutral,56,Positive,0.05%,0.09%,0.19%,0.00%,0.00%,0.00%,0.19%,-0.37%,0.09%,0.09%,-0.19%,NA,10.77,$10.780,$10.760,$10.750,$10.770,$10.770,$10.810,$10.760,$0.000,-2.02%,0.09%,0.008,0.016,1.325,0.108,1.438,0.63%,1742,550,33.10%,29.70%,14.69%,10.82%,6.62%,0,Stress-Drawdown,46.70%,40.42%,6.284%,14,Sideways – Calm,Calm,Scarce,Neutral,Calm - Downtrend,Downside,Unstable_Weak,$10.770,$12.35,$9.61,$11.483,$10.231,1.830,Recheck,Weak – Active,Stable,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,Seed Financial Income Fund Active ETF
SFM,0.2,0.405,Bearish,51,Negative,4.35%,2.22%,4.55%,4.55%,4.55%,0.00%,-14.81%,-11.54%,-14.81%,-34.29%,-25.81%,-8.00%,0.23,$0.240,$0.225,$0.220,$0.220,$0.220,$0.260,$0.350,$0.250,-14.77%,1.87%,-0.221,0.089,2.871,0.801,2.209,19.24%,1006,961,17.30%,42.70%,12.87%,34.53%,-8.78%,39076512,Trader Choice,39.70%,31.51%,8.195%,1,Fading – Weak,Medium,Fair,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.230,$0.26,$0.15,$0.210,$0.219,1.219,Recheck,Weak – Active,Fading,Active,Very Strong,NA,Caution,Neutral,Materials,Ordinary,XASX,Santa FE Minerals Ltd Ordinary
SFR,12.5,25,Bullish,53,Positive,3.21%,3.39%,-2.70%,-5.83%,1.52%,4.17%,18.68%,6.08%,22.04%,40.90%,30.14%,78.70%,21.98,$22.880,$21.260,$22.590,$23.340,$21.650,$20.720,$15.600,$12.300,6.07%,22.26%,0.260,-0.033,3.512,-0.138,2.048,21.62%,60,40,46.50%,24.70%,13.52%,10.00%,4.16%,10706801248,Trader Choice,76.00%,67.41%,8.585%,2,Uptrend – Soft,Low,Standard,Neutral,Medium - Fading,Fading,Unstable_Weak,$21.980,$24.95,$19.78,$22.894,$20.068,7.665,Strong,Monitor – Active,Rising,Inspect,Moderate,Caution Premium,Assured,Breakout,Materials,Ordinary,XASX,Sandfire Resources Limited Ordinary
SFX,0.03,0.165,Neutral,48,Negative,-1.11%,0.00%,0.00%,2.27%,-6.25%,2.27%,18.42%,9.76%,50.00%,-11.76%,-33.82%,-67.86%,0.045,$0.044,$0.045,$0.045,$0.044,$0.048,$0.041,$0.051,$0.140,-2.44%,2.17%,-0.003,0.038,1.219,-0.010,2.231,14.58%,1282,1787,11.70%,48.10%,44.44%,44.44%,-4.61%,17425773.2,Stress-Drawdown,24.20%,22.40%,1.799%,4,Sideways – Soft,Medium,Scarce,Neutral,Medium - Fading,Downside,Unstable_Weak,$0.045,$0.07,$0.03,$0.043,$0.043,1.373,Weak,Weak – Calm,Drop Phase,Inspect,Strong,NA,Caution,Breakout Tilt,Materials,Ordinary,XASX,Sheffield Resources Limited Ordinary
SFY,72.48,81.3,Bearish,35,Negative,0.06%,-0.32%,-2.96%,-3.08%,-2.39%,-4.83%,-0.13%,-0.54%,0.10%,2.61%,3.23%,0.16%,76.8,$77.000,$77.050,$79.140,$79.240,$78.680,$77.220,$74.850,$76.680,-2.83%,0.14%,-0.072,-0.041,1.245,0.066,1.346,14.05%,1742,1153,14.80%,35.70%,10.00%,14.50%,-2.78%,0,Stress-Drawdown,34.20%,32.26%,1.938%,1,Sideways – Soft,Calm,Scarce,Fading,Calm - Downtrend,Downside,Unstable_Weak,$76.800,$84.48,$65.66,$74.664,$72.847,1.995,Weak,Weak – Calm,Drop Phase,Inspect,Strong,NA,Balanced,Breakout,Financials ,ETF,XASX,State Street SPDR S&P/ASX 50 ETF
SGA,0.059,0.155,Bearish,44,Negative,-0.74%,-8.11%,-2.86%,-11.69%,-17.07%,-1.45%,-23.60%,1.49%,-17.07%,-24.44%,-32.00%,-28.42%,0.068,$0.067,$0.074,$0.070,$0.077,$0.082,$0.067,$0.090,$0.095,-21.34%,0.07%,-0.159,-0.130,1.312,-0.132,2.354,28.53%,1277,1887,7.50%,52.40%,29.41%,39.64%,-8.89%,17741660.3,Stress-Trailing Stop,19.60%,19.55%,0.054%,1,Fading – Breaking,Medium,Scarce,Fading,Medium - Fading,Downside,Unstable_Weak,$0.068,$0.09,$0.04,$0.062,$0.062,1.312,Weak,Weak – Calm,Drop Phase,Faded,Moderate,NA,Exposed,Neutral,Materials,Ordinary,XASX,Sarytogan Graphite Limited Ordinary
